"Issue Type","Summary","Description","Priority","Original Estimate","Epic Name","Epic Link","Labels","Labels","Labels","Labels","Labels","Labels"
"Story","[STI-502] Rig model: truck, trailer and foreman","Plan ID: STI-502 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Deliverable 7's redundancy point. A rig is one truck, one trailer, one foreman. Rather than storing that triple on every tool, store the rig once and derive tool -> trailer through the holder. The governing rule for this epic: store what varies independently, derive what does not.

h3. Acceptance criteria
* A partial unique index enforces one active truck and one active trailer per foreman
* The assignment's explicit trailer_id OVERRIDES the derived rig value. A tool can be somewhere other than its holder's usual trailer and the record must be able to say so
* Changing a foreman's rig does NOT rewrite historical assignments. History records where a tool was, not where it would be today

h3. Cases
* Foreman swaps trailers mid-job: new assignments pick up the new trailer, closed ones keep the old. This is the difference between a ledger and a spreadsheet
* Two foremen sharing one truck: refused by the index, with an error naming the current holder

h3. Depends on
STI-501

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E5 Custody context and rig model","sti-502","sprint-1","deliverable-7","migration","",""
"Story","[STI-503] Backtrack view: tool to trailer, truck, project and PO","Plan ID: STI-503 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Deliverable 6, finally answerable. From any tool, resolve the full custody context (holder, project, truck, trailer, PO, since) and its complete history. Derived values fall back through the holder's rig when the assignment does not name them explicitly.

h3. Acceptance criteria
* Reachable from the tool detail page and from every table row that shows a tool
* Shows current context AND full history: each prior holder, project, truck and trailer, with dates
* Derived values are visually marked as derived, so nobody mistakes an inference for a record
* Works in reverse: from a trailer, list every tool currently in it

h3. Depends on
STI-501, STI-502

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","72000","","E5 Custody context and rig model","sti-503","sprint-1","deliverable-6","ui","",""
"Story","[STI-504] Drop the redundant custodian mirror","Plan ID: STI-504 | Sprint: S1 stretch - only if S1 lands early | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
vehicle.foreman_employee_id mirrors location.custodian_employee_id for the same physical thing. The schema comment already admits the location column is authoritative and the mirror exists only because three screens read it. Two writers, one truth: they will drift.

h3. Acceptance criteria
* One authoritative column
* Readers migrated
* The other column dropped in the same migration

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","28800","","E5 Custody context and rig model","sti-504","sprint-1-stretch","deliverable-7","migration","",""
"Story","[STI-505] Custody context tests","Plan ID: STI-505 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The fold is the highest-consequence pure function in the system and this epic changes its input shape.

h3. Acceptance criteria
* Fold tests across both snapshot shapes
* Rig uniqueness enforced
* Explicit trailer_id overrides derived rig value
* Backtrack correctness over a multi-hop history

h3. Depends on
STI-503

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E5 Custody context and rig model","sti-505","sprint-4","deliverable-6","testing","",""
"Story","[STI-601] Attachment model and storage","Plan ID: STI-601 | Sprint: S4 Foundation - PO and entity management | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
A polymorphic attachment hanging off a project, a foreman or a tool, carrying an optional indexed po_number so the backtrack view can reach it. Scope discipline: this is NOT procurement. No requisition, approval chain, vendor workflow or receipt. Resist every temptation to grow it.

h3. Acceptance criteria
* Upload, list, download and delete (soft: an attachment is evidence)
* Type and size limits enforced server-side; PDF and common image types
* Storage keys are opaque and non-guessable; downloads are authorised per request, never served from a public path
* Filenames are sanitised; the original is preserved for display only
* Every upload and delete writes an audit event

h3. Cases
* The same PO number on several attachments across projects is legal, and searching the number returns all of them
* Upload arriving after the subject is deleted is rejected cleanly

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","72000","","E6 Purchase order attachments","sti-601","sprint-4","deliverable-5","migration","",""
"Story","[STI-602] Attachment UI","Plan ID: STI-602 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The attachment panel wherever a PO might be filed.

h3. Acceptance criteria
* An attachments panel on project, foreman and tool detail
* Drag-and-drop with visible progress
* PO number is an editable field on the row

h3. Depends on
STI-601

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E6 Purchase order attachments","sti-602","sprint-4","deliverable-5","ui","",""
"Story","[STI-603] PO number search and backtrack link","Plan ID: STI-603 | Sprint: S4 Foundation - PO and entity management | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The PO number is the handle that makes an attachment findable rather than merely stored.

h3. Acceptance criteria
* PO number is searchable from global search and returns tools, projects and foremen
* The STI-503 backtrack view shows the PO when one exists

h3. Depends on
STI-601, STI-503

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","28800","","E6 Purchase order attachments","sti-603","sprint-4","deliverable-5","deliverable-6","",""
"Story","[STI-701] Scope every list procedure","Plan ID: STI-701 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
project.list is scoped server-side, but the KPI dashboard and several reports ignore project scoping entirely, so a PM currently sees fleet-wide numbers.

h3. Acceptance criteria
* Every list and report procedure applies visibleProjectScope
* Authorisation is applied to the query BEFORE execution, never as a post-filter over results
* A test asserts a PM cannot retrieve another project's tools through any procedure

h3. Depends on
STI-802

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","57600","","E7 Project scoping","sti-701","sprint-2","deliverable-10","security","",""
"Story","[STI-702] Project and group switcher consistency","Plan ID: STI-702 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
One switcher, one selected scope, honoured everywhere.

h3. Acceptance criteria
* One switcher, one selected scope, respected by every screen including reports and the dashboard
* The selection survives navigation and reload

h3. Depends on
STI-701

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","28800","","E7 Project scoping","sti-702","sprint-3","deliverable-10","ui","",""
"Story","[STI-703] Scoping matrix tests","Plan ID: STI-703 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
This is the test that catches a cross-tenant leak before a second tenant exists.

h3. Acceptance criteria
* A matrix test: for each role and each scope, assert exactly which projects are visible through every list procedure

h3. Depends on
STI-701

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E7 Project scoping","sti-703","sprint-3","deliverable-10","testing","security",""
"Story","[STI-801] Agree the permission matrix with Urban","Plan ID: STI-801 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
THIS IS A MEETING AND IT IS THE CRITICAL PATH. Book it for working day 2. STI-102, STI-403, STI-701 and STI-802 are all blocked on the output. Escalate on day 3 if it has not happened.

h3. Acceptance criteria
* A written matrix: every role against every permission, signed off by Urban
* Resolves the three 'admin' identities separately: System, Office and Equipment Administrator
* ANSWERS WHAT AN ENGINEER MAY DO. The role appears in Urban's requirements and nowhere in the codebase, and nobody has yet defined it
* Confirms whether mechanics log in or only hold tools. Holding custody and having an account are different things

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","28800","","E8 Permissions and role surfaces","sti-801","sprint-1","deliverable-11","rbac","blocker","decision"
"Story","[STI-802] Replace role-name branching with permission checks","Plan ID: STI-802 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The rule is already written in AGENTS.md and is not held everywhere. Scope resolution should read has_permission(actor, 'assets.view.all' | '.project' | '.crew' | '.own') and fall through in that order, never comparing role names.

h3. Acceptance criteria
* No actor.role == '...' comparison survives in routers or components. Grep is the test
* New scope permissions (assets.view.all, .project, .crew, .own) are added and seeded
* Adding a role requires no code change

h3. Depends on
STI-801

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","72000","","E8 Permissions and role surfaces","sti-802","sprint-2","deliverable-11","rbac","security",""
"Story","[STI-803] Role-shaped navigation","Plan ID: STI-803 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
nav-config.ts has two shapes, FIELD_NAV and DESK_NAV, and is explicit that this is deliberate: two shapes of navigation, not one list with items hidden. A PM falls through to DESK_NAV and gets the equipment administrator's surface. Whether the PM gets a THIRD shape is an open design question (see design/README.md); default to project scoping doing the work unless Urban says otherwise.

h3. Acceptance criteria
* Navigation is composed from permissions
* A user never sees a link they cannot open

h3. Depends on
STI-802

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E8 Permissions and role surfaces","sti-803","sprint-3","deliverable-11","rbac","ui",""
"Story","[STI-804] RBAC matrix test","Plan ID: STI-804 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The matrix and the test must not be able to drift apart.

h3. Acceptance criteria
* For every role and every procedure, assert allowed or denied
* Generated from the STI-801 matrix so the test and the document cannot drift

h3. Depends on
STI-801, STI-802

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E8 Permissions and role surfaces","sti-804","sprint-2","deliverable-11","rbac","testing",""
"Story","[STI-805] Permission-aware UI affordances","Plan ID: STI-805 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Actions a user cannot perform should be absent rather than present-and-failing.

h3. Acceptance criteria
* Actions the user cannot perform are absent, not present-and-failing
* Server-side authorisation is unconditional regardless of what the UI renders. A hidden button is a usability affordance, never a security control

h3. Depends on
STI-802

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E8 Permissions and role surfaces","sti-805","sprint-3","deliverable-11","rbac","ui",""
"Story","[STI-901] Custom dashboard tabs","Plan ID: STI-901 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Today user_preferences.dashboard holds { widgets, defaultTab } where defaultTab is one of two hard-coded values. Tabs become data: a DashboardTab row per user with name, position, is_default and an ordered list of panels.

h3. Acceptance criteria
* Create, rename, reorder and delete tabs; choose a default
* Per-user, per-tenant persistence
* Deleting the last tab is refused
* Reorder is optimistic with a pending guard. The job-group tick bug, where rapid consecutive changes were dropped, is the precedent to avoid

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","72000","","E9 Dashboard tabs and generated views","sti-901","sprint-2","deliverable-9","dashboard","migration",""
"Story","[STI-902] Panel registry","Plan ID: STI-902 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Panels are declared, not hard-coded per role, so Release 2 adds panels without touching role logic. Each registry entry pairs a panel id with the permission that gates it.

h3. Acceptance criteria
* A panel the user lacks permission for is not rendered AND not fetched
* Adding a panel is one registry entry

h3. Depends on
STI-802

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E9 Dashboard tabs and generated views","sti-902","sprint-2","deliverable-9","dashboard","",""
"Story","[STI-903] Generated views from natural language","Plan ID: STI-903 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 32h (4d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
A PM describes the view they want and the system assembles it from the panel registry. packages/intent already parses natural language, so this extends built work rather than starting a capability. Parse intent, check it against the actor's visible scope, execute a scoped query, then select a panel and stream it. SPLIT THIS IF IT GROWS: 13 points is the ceiling.

h3. Acceptance criteria
* NON-NEGOTIABLE: the model chooses presentation, never scope. Authorisation is applied to the query before execution, never as a post-filter over results, and never delegated to the model
* NON-NEGOTIABLE: the LLM never receives raw data it should not see and never emits an ID. It returns labels and spans; resolution to IDs happens server-side under tenant scope, exactly as entity-resolve.ts already does. A hallucinated ID is then impossible by construction
* A generated view is savable as a tab panel
* An out-of-scope request is refused without revealing that the entity exists
* Failure is graceful: an unreachable parser degrades to the manual panel picker and does not break the dashboard

h3. Cases
* 'Show me tools on Trinity' from a PM not on Trinity: refused, and the refusal does not confirm Trinity exists
* Parser returns malformed intent: validation error, no query runs
* Ambiguous entity name: asks rather than guessing

h3. Depends on
STI-902, STI-701

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","115200","","E9 Dashboard tabs and generated views","sti-903","sprint-2","deliverable-9","dashboard","llm","security"
"Story","[STI-904] Dashboard scoping and default tab","Plan ID: STI-904 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The dashboard must obey the same scope as everything else.

h3. Acceptance criteria
* Every panel honours the STI-701 project scope
* The default tab loads on sign-in
* The choice is per user

h3. Depends on
STI-701, STI-901

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","28800","","E9 Dashboard tabs and generated views","sti-904","sprint-2","deliverable-9","dashboard","",""
"Story","[STI-905] Generated-view scope tests","Plan ID: STI-905 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The generated-view surface is the one place where a user's words influence a query, so scope enforcement is the whole test suite.

h3. Acceptance criteria
* For each role, assert that a generated query cannot reach out-of-scope data through any intent shape, including adversarial phrasing

h3. Depends on
STI-903

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E9 Dashboard tabs and generated views","sti-905","sprint-2","deliverable-9","testing","security",""
"Story","[STI-1001] Blocky tokens and restyled primitives","Plan ID: STI-1001 | Sprint: S2 Dashboard - permissions and scoping | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
ADR-7. Express Blocky in the existing oklch token system in apps/web/app/globals.css rather than adopting the concept's hex values, so light/dark and the reserved status hues (--ok, --warn, --crit, --idle) keep working. Then restyle the shared primitives: radius down to 3-4px, JetBrains Mono for every numeral, 8-10px row density, zebra table rows, bare coloured status text in place of badges, a 3px left edge bar for state. The Radix primitives underneath are NOT replaced.

h3. Acceptance criteria
* Blocky is defined as tokens; no component hard-codes a hex value
* Light and dark both work; status hues stay reserved and never decorative
* Radix behaviour is untouched: focus traps, keyboard navigation and ARIA on dialog, popover, combobox and dropdown all still pass
* A single reference screen is converted end to end to prove the tokens before anything else migrates
* Numerals are tabular so columns of tags and counts align

h3. Cases
* A status colour that must survive both themes: verify against the oklch tokens, not the concept's hex
* A component with no Blocky equivalent in the concept: derive it from the tokens rather than inventing a second style

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","72000","","E10 Blocky design language","sti-1001","sprint-2","design-system","adr-7","ui",""
"Story","[STI-1002] Migrate existing surfaces to Blocky","Plan ID: STI-1002 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 32h (4d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Convert the built screens to the new language, highest-traffic first: tool register, jobsites, people, reports, inbox, dashboard. New UI is built in Blocky from the start, so this story covers only what already exists. Split it if it grows past 13.

h3. Acceptance criteria
* Every screen uses the Blocky tokens; no screen mixes the two languages
* No regression in behaviour: the story is a restyle, not a rewrite
* The field app (NativeWind) is explicitly out of scope. ADR-3's follow-up established the two clients share logic, not components

h3. Cases
* A screen whose density cannot survive the tighter rows: raise it in design review rather than keeping an exception in the code

h3. Depends on
STI-1001

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","115200","","E10 Blocky design language","sti-1002","sprint-3","design-system","adr-7","ui",""
